lexeme,variants,msg,mpl,fsg,fpl
anti-terroriste,anti-terroriste:antiterroriste,ɑ̃titEʁOʁist,ɑ̃titEʁOʁist,ɑ̃titEʁOʁist,ɑ̃titEʁOʁist
anti-viral,anti-viral:antiviral,ɑ̃tiviʁal,ɑ̃tiviʁo,ɑ̃tiviʁal,ɑ̃tiviʁal
antiacide,antiacide,ɑ̃tiasid,ɑ̃tiasid,ɑ̃tiasid,ɑ̃tiasid
antialcoolique,antialcoolique,ɑ̃tialkOlik,ɑ̃tialkOlik,ɑ̃tialkOlik,ɑ̃tialkOlik
antiallemand,antiallemand,ɑ̃tialəmɑ̃,ɑ̃tialəmɑ̃,ɑ̃tialəmɑ̃d,ɑ̃tialəmɑ̃d
antiaméricain,antiaméricain,ɑ̃tiamEʁikɛ̃,ɑ̃tiamEʁikɛ̃,ɑ̃tiamEʁikɛn,ɑ̃tiamEʁikɛn
antibactérien,antibactérien,ɑ̃tibaktEʁjɛ̃,ɑ̃tibaktEʁjɛ̃,ɑ̃tibaktEʁjɛn,ɑ̃tibaktEʁjɛn
antibiotique,antibiotique,ɑ̃tibjOtik,ɑ̃tibjOtik,ɑ̃tibjOtik,ɑ̃tibjOtik
antiblocage,antiblocage,ɑ̃tiblOkaʒ,ɑ̃tiblOkaʒ,ɑ̃tiblOkaʒ,ɑ̃tiblOkaʒ
antibolchevique,antibolchevique,ɑ̃tibɔlʃəvik,ɑ̃tibɔlʃəvik,ɑ̃tibɔlʃəvik,ɑ̃tibɔlʃəvik
antibourgeois,antibourgeois,ɑ̃tibuʁʒwa,ɑ̃tibuʁʒwa,ɑ̃tibuʁʒwaz,ɑ̃tibuʁʒwaz
antibruit,antibruit,ɑ̃tibʁɥi,ɑ̃tibʁɥi,ɑ̃tibʁɥi,ɑ̃tibʁɥi
anticalcaire,anticalcaire,ɑ̃tikalkɛʁ,ɑ̃tikalkɛʁ,ɑ̃tikalkɛʁ,ɑ̃tikalkɛʁ
anticatholique,anticatholique,ɑ̃tikatOlik,ɑ̃tikatOlik,ɑ̃tikatOlik,ɑ̃tikatOlik
antichar,antichar,ɑ̃tiʃaʁ,ɑ̃tiʃaʁ,ɑ̃tiʃaʁ,ɑ̃tiʃaʁ
antichoc,antichoc,ɑ̃tiʃɔk,ɑ̃tiʃɔk,ɑ̃tiʃɔk,ɑ̃tiʃɔk
anticholinergique,anticholinergique,ɑ̃tikOlinɛʁʒik,ɑ̃tikOlinɛʁʒik,ɑ̃tikOlinɛʁʒik,ɑ̃tikOlinɛʁʒik
antichrétien,antichrétien,ɑ̃tikʁEtjɛ̃,ɑ̃tikʁEtjɛ̃,ɑ̃tikʁEtjɛn,ɑ̃tikʁEtjɛn
anticipateur,anticipateur,ɑ̃tisipatœʁ,ɑ̃tisipatœʁ,ɑ̃tisipatʁis,ɑ̃tisipatʁis
anticipatoire,anticipatoire,ɑ̃tisipatwaʁ,ɑ̃tisipatwaʁ,ɑ̃tisipatwaʁ,ɑ̃tisipatwaʁ
anticipé,anticipé,ɑ̃tisipe,ɑ̃tisipe,ɑ̃tisipe,ɑ̃tisipe
anticlérical,anticlérical,ɑ̃tiklEʁikal,ɑ̃tiklEʁiko,ɑ̃tiklEʁikal,ɑ̃tiklEʁikal
anticonceptionnel,anticonceptionnel,ɑ̃tikɔ̃sEpsjOnɛl,ɑ̃tikɔ̃sEpsjOnɛl,ɑ̃tikɔ̃sEpsjOnɛl,ɑ̃tikɔ̃sEpsjOnɛl
anticonformiste,anticonformiste,ɑ̃tikɔ̃fɔʁmist,ɑ̃tikɔ̃fɔʁmist,ɑ̃tikɔ̃fɔʁmist,ɑ̃tikɔ̃fɔʁmist
anticonstitutionnel,anticonstitutionnel,ɑ̃tikɔ̃stitysjOnɛl,ɑ̃tikɔ̃stitysjOnɛl,ɑ̃tikɔ̃stitysjOnɛl,ɑ̃tikɔ̃stitysjOnɛl
anticyclique,anticyclique,ɑ̃tisiklik,ɑ̃tisiklik,ɑ̃tisiklik,ɑ̃tisiklik
anticyclonique,anticyclonique,ɑ̃tisiklOnik,ɑ̃tisiklOnik,ɑ̃tisiklOnik,ɑ̃tisiklOnik
antidépresseur,antidépresseur,ɑ̃tidEpʁEsœʁ,ɑ̃tidEpʁEsœʁ,ɑ̃tidEpʁEsœʁ,ɑ̃tidEpʁEsœʁ
antidérapant,antidérapant,ɑ̃tidEʁapɑ̃,ɑ̃tidEʁapɑ̃,ɑ̃tidEʁapɑ̃t,ɑ̃tidEʁapɑ̃t
antidictatorial,antidictatorial,ɑ̃tidiktatɔʁjal,ɑ̃tidiktatɔʁjo,ɑ̃tidiktatɔʁjal,ɑ̃tidiktatɔʁjal
antidopage,antidopage,ɑ̃tidOpaʒ,ɑ̃tidOpaʒ,ɑ̃tidOpaʒ,ɑ̃tidOpaʒ
antidouleur,antidouleur,ɑ̃tidulœʁ,ɑ̃tidulœʁ,ɑ̃tidulœʁ,ɑ̃tidulœʁ
