lexeme,variants,prs.1sg,prs.2sg,prs.3sg,prs.1pl,prs.2pl,prs.3pl,ipfv.1sg,ipfv.2sg,ipfv.3sg,ipfv.1pl,ipfv.2pl,ipfv.3pl,fut.1sg,fut.2sg,fut.3sg,fut.1pl,fut.2pl,fut.3pl,cond.1sg,cond.2sg,cond.3sg,cond.1pl,cond.2pl,cond.3pl,sbjv.1sg,sbjv.2sg,sbjv.3sg,sbjv.1pl,sbjv.2pl,sbjv.3pl,pst.1sg,pst.2sg,pst.3sg,pst.1pl,pst.2pl,pst.3pl,pst.sbjv.1sg,pst.sbjv.2sg,pst.sbjv.3sg,pst.sbjv.1pl,pst.sbjv.2pl,pst.sbjv.3pl,imp.2sg,imp.1pl,imp.2pl
trembloter,trembloter,tremblote,tremblotes,tremblote,tremblotons,tremblotez,tremblotent,tremblotais,tremblotais,tremblotait,tremblotions,tremblotiez,tremblotaient,trembloterai,trembloteras,tremblotera,trembloterons,trembloterez,trembloteront,trembloterais,trembloterais,trembloterait,trembloterions,trembloteriez,trembloteraient,tremblote,tremblotes,tremblote,tremblotions,tremblotiez,tremblotent,tremblotai,tremblotas,tremblota,tremblotâmes,tremblotâtes,tremblotèrent,tremblotasse,tremblotasses,tremblotât,tremblotassions,tremblotassiez,tremblotassent,tremblote,tremblotons,tremblotez
trémousser,trémousser,trémousse,trémousses,trémousse,trémoussons,trémoussez,trémoussent,trémoussais,trémoussais,trémoussait,trémoussions,trémoussiez,trémoussaient,trémousserai,trémousseras,trémoussera,trémousserons,trémousserez,trémousseront,trémousserais,trémousserais,trémousserait,trémousserions,trémousseriez,trémousseraient,trémousse,trémousses,trémousse,trémoussions,trémoussiez,trémoussent,trémoussai,trémoussas,trémoussa,trémoussâmes,trémoussâtes,trémoussèrent,trémoussasse,trémoussasses,trémoussât,trémoussassions,trémoussassiez,trémoussassent,trémousse,trémoussons,trémoussez
tremper,tremper,trempe,trempes,trempe,trempons,trempez,trempent,trempais,trempais,trempait,trempions,trempiez,trempaient,tremperai,tremperas,trempera,tremperons,tremperez,tremperont,tremperais,tremperais,tremperait,tremperions,tremperiez,tremperaient,trempe,trempes,trempe,trempions,trempiez,trempent,trempai,trempas,trempa,trempâmes,trempâtes,trempèrent,trempasse,trempasses,trempât,trempassions,trempassiez,trempassent,trempe,trempons,trempez
trémuler,trémuler,trémule,trémules,trémule,trémulons,trémulez,trémulent,trémulais,trémulais,trémulait,trémulions,trémuliez,trémulaient,trémulerai,trémuleras,trémulera,trémulerons,trémulerez,trémuleront,trémulerais,trémulerais,trémulerait,trémulerions,trémuleriez,trémuleraient,trémule,trémules,trémule,trémulions,trémuliez,trémulent,trémulai,trémulas,trémula,trémulâmes,trémulâtes,trémulèrent,trémulasse,trémulasses,trémulât,trémulassions,trémulassiez,trémulassent,trémule,trémulons,trémulez
trépaner,trépaner,trépane,trépanes,trépane,trépanons,trépanez,trépanent,trépanais,trépanais,trépanait,trépanions,trépaniez,trépanaient,trépanerai,trépaneras,trépanera,trépanerons,trépanerez,trépaneront,trépanerais,trépanerais,trépanerait,trépanerions,trépaneriez,trépaneraient,trépane,trépanes,trépane,trépanions,trépaniez,trépanent,trépanai,trépanas,trépana,trépanâmes,trépanâtes,trépanèrent,trépanasse,trépanasses,trépanât,trépanassions,trépanassiez,trépanassent,trépane,trépanons,trépanez
trépasser,trépasser,trépasse,trépasses,trépasse,trépassons,trépassez,trépassent,trépassais,trépassais,trépassait,trépassions,trépassiez,trépassaient,trépasserai,trépasseras,trépassera,trépasserons,trépasserez,trépasseront,trépasserais,trépasserais,trépasserait,trépasserions,trépasseriez,trépasseraient,trépasse,trépasses,trépasse,trépassions,trépassiez,trépassent,trépassai,trépassas,trépassa,trépassâmes,trépassâtes,trépassèrent,trépassasse,trépassasses,trépassât,trépassassions,trépassassiez,trépassassent,trépasse,trépassons,trépassez
trépider,trépider,trépide,trépides,trépide,trépidons,trépidez,trépident,trépidais,trépidais,trépidait,trépidions,trépidiez,trépidaient,trépiderai,trépideras,trépidera,trépiderons,trépiderez,trépideront,trépiderais,trépiderais,trépiderait,trépiderions,trépideriez,trépideraient,trépide,trépides,trépide,trépidions,trépidiez,trépident,trépidai,trépidas,trépida,trépidâmes,trépidâtes,trépidèrent,trépidasse,trépidasses,trépidât,trépidassions,trépidassiez,trépidassent,trépide,trépidons,trépidez
trépigner,trépigner,trépigne,trépignes,trépigne,trépignons,trépignez,trépignent,trépignais,trépignais,trépignait,trépignions,trépigniez,trépignaient,trépignerai,trépigneras,trépignera,trépignerons,trépignerez,trépigneront,trépignerais,trépignerais,trépignerait,trépignerions,trépigneriez,trépigneraient,trépigne,trépignes,trépigne,trépignions,trépigniez,trépignent,trépignai,trépignas,trépigna,trépignâmes,trépignâtes,trépignèrent,trépignasse,trépignasses,trépignât,trépignassions,trépignassiez,trépignassent,trépigne,trépignons,trépignez
tressaillir,tressaillir,tressaille,tressailles,tressaille,tressaillons,tressaillez,tressaillent,tressaillais,tressaillais,tressaillait,tressaillions,tressailliez,tressaillaient,tressaillerai,tressailleras,tressaillera,tressaillerons,tressaillerez,tressailleront,tressaillerais,tressaillerais,tressaillerait,tressaillerions,tressailleriez,tressailleraient,tressaille,tressailles,tressaille,tressaillions,tressailliez,tressaillent,tressaillis,tressaillis,tressaillit,tressaillîmes,tressaillîtes,tressaillirent,tressaillisse,tressaillisses,tressaillît,tressaillissions,tressaillissiez,tressaillissent,tressaille,tressaillons,tressaillez
tressauter,tressauter,tressaute,tressautes,tressaute,tressautons,tressautez,tressautent,tressautais,tressautais,tressautait,tressautions,tressautiez,tressautaient,tressauterai,tressauteras,tressautera,tressauterons,tressauterez,tressauteront,tressauterais,tressauterais,tressauterait,tressauterions,tressauteriez,tressauteraient,tressaute,tressautes,tressaute,tressautions,tressautiez,tressautent,tressautai,tressautas,tressauta,tressautâmes,tressautâtes,tressautèrent,tressautasse,tressautasses,tressautât,tressautassions,tressautassiez,tressautassent,tressaute,tressautons,tressautez
tresser,tresser,tresse,tresses,tresse,tressons,tressez,tressent,tressais,tressais,tressait,tressions,tressiez,tressaient,tresserai,tresseras,tressera,tresserons,tresserez,tresseront,tresserais,tresserais,tresserait,tresserions,tresseriez,tresseraient,tresse,tresses,tresse,tressions,tressiez,tressent,tressai,tressas,tressa,tressâmes,tressâtes,tressèrent,tressasse,tressasses,tressât,tressassions,tressassiez,tressassent,tresse,tressons,tressez
treuiller,treuiller,treuille,treuilles,treuille,treuillons,treuillez,treuillent,treuillais,treuillais,treuillait,treuillions,treuilliez,treuillaient,treuillerai,treuilleras,treuillera,treuillerons,treuillerez,treuilleront,treuillerais,treuillerais,treuillerait,treuillerions,treuilleriez,treuilleraient,treuille,treuilles,treuille,treuillions,treuilliez,treuillent,treuillai,treuillas,treuilla,treuillâmes,treuillâtes,treuillèrent,treuillasse,treuillasses,treuillât,treuillassions,treuillassiez,treuillassent,treuille,treuillons,treuillez
trianguler,trianguler,triangule,triangules,triangule,triangulons,triangulez,triangulent,triangulais,triangulais,triangulait,triangulions,trianguliez,triangulaient,triangulerai,trianguleras,triangulera,triangulerons,triangulerez,trianguleront,triangulerais,triangulerais,triangulerait,triangulerions,trianguleriez,trianguleraient,triangule,triangules,triangule,triangulions,trianguliez,triangulent,triangulai,triangulas,triangula,triangulâmes,triangulâtes,triangulèrent,triangulasse,triangulasses,triangulât,triangulassions,triangulassiez,triangulassent,triangule,triangulons,triangulez
tricher,tricher,triche,triches,triche,trichons,trichez,trichent,trichais,trichais,trichait,trichions,trichiez,trichaient,tricherai,tricheras,trichera,tricherons,tricherez,tricheront,tricherais,tricherais,tricherait,tricherions,tricheriez,tricheraient,triche,triches,triche,trichions,trichiez,trichent,trichai,trichas,tricha,trichâmes,trichâtes,trichèrent,trichasse,trichasses,trichât,trichassions,trichassiez,trichassent,triche,trichons,trichez
