lexeme,variants,prs.1sg,prs.2sg,prs.3sg,prs.1pl,prs.2pl,prs.3pl,ipfv.1sg,ipfv.2sg,ipfv.3sg,ipfv.1pl,ipfv.2pl,ipfv.3pl,fut.1sg,fut.2sg,fut.3sg,fut.1pl,fut.2pl,fut.3pl,cond.1sg,cond.2sg,cond.3sg,cond.1pl,cond.2pl,cond.3pl,sbjv.1sg,sbjv.2sg,sbjv.3sg,sbjv.1pl,sbjv.2pl,sbjv.3pl,pst.1sg,pst.2sg,pst.3sg,pst.1pl,pst.2pl,pst.3pl,pst.sbjv.1sg,pst.sbjv.2sg,pst.sbjv.3sg,pst.sbjv.1pl,pst.sbjv.2pl,pst.sbjv.3pl,imp.2sg,imp.1pl,imp.2pl
cautériser,cautériser,cautérise,cautérises,cautérise,cautérisons,cautérisez,cautérisent,cautérisais,cautérisais,cautérisait,cautérisions,cautérisiez,cautérisaient,cautériserai,cautériseras,cautérisera,cautériserons,cautériserez,cautériseront,cautériserais,cautériserais,cautériserait,cautériserions,cautériseriez,cautériseraient,cautérise,cautérises,cautérise,cautérisions,cautérisiez,cautérisent,cautérisai,cautérisas,cautérisa,cautérisâmes,cautérisâtes,cautérisèrent,cautérisasse,cautérisasses,cautérisât,cautérisassions,cautérisassiez,cautérisassent,cautérise,cautérisons,cautérisez
cautionner,cautionner,cautionne,cautionnes,cautionne,cautionnons,cautionnez,cautionnent,cautionnais,cautionnais,cautionnait,cautionnions,cautionniez,cautionnaient,cautionnerai,cautionneras,cautionnera,cautionnerons,cautionnerez,cautionneront,cautionnerais,cautionnerais,cautionnerait,cautionnerions,cautionneriez,cautionneraient,cautionne,cautionnes,cautionne,cautionnions,cautionniez,cautionnent,cautionnai,cautionnas,cautionna,cautionnâmes,cautionnâtes,cautionnèrent,cautionnasse,cautionnasses,cautionnât,cautionnassions,cautionnassiez,cautionnassent,cautionne,cautionnons,cautionnez
cavalcader,cavalcader,cavalcade,cavalcades,cavalcade,cavalcadons,cavalcadez,cavalcadent,cavalcadais,cavalcadais,cavalcadait,cavalcadions,cavalcadiez,cavalcadaient,cavalcaderai,cavalcaderas,cavalcadera,cavalcaderons,cavalcaderez,cavalcaderont,cavalcaderais,cavalcaderais,cavalcaderait,cavalcaderions,cavalcaderiez,cavalcaderaient,cavalcade,cavalcades,cavalcade,cavalcadions,cavalcadiez,cavalcadent,cavalcadai,cavalcadas,cavalcada,cavalcadâmes,cavalcadâtes,cavalcadèrent,cavalcadasse,cavalcadasses,cavalcadât,cavalcadassions,cavalcadassiez,cavalcadassent,cavalcade,cavalcadons,cavalcadez
cavaler,cavaler,cavale,cavales,cavale,cavalons,cavalez,cavalent,cavalais,cavalais,cavalait,cavalions,cavaliez,cavalaient,cavalerai,cavaleras,cavalera,cavalerons,cavalerez,cavaleront,cavalerais,cavalerais,cavalerait,cavalerions,cavaleriez,cavaleraient,cavale,cavales,cavale,cavalions,cavaliez,cavalent,cavalai,cavalas,cavala,cavalâmes,cavalâtes,cavalèrent,cavalasse,cavalasses,cavalât,cavalassions,cavalassiez,cavalassent,cavale,cavalons,cavalez
caver,caver:excaver,cave,caves,cave,cavons,cavez,cavent,cavais,cavais,cavait,cavions,caviez,cavaient,caverai,caveras,cavera,caverons,caverez,caveront,caverais,caverais,caverait,caverions,caveriez,caveraient,cave,caves,cave,cavions,caviez,cavent,cavai,cavas,cava,cavâmes,cavâtes,cavèrent,cavasse,cavasses,cavât,cavassions,cavassiez,cavassent,cave,cavons,cavez
céder,céder,cède,cèdes,cède,cédons,cédez,cèdent,cédais,cédais,cédait,cédions,cédiez,cédaient,céderai,céderas,cédera,céderons,céderez,céderont,céderais,céderais,céderait,céderions,céderiez,céderaient,cède,cèdes,cède,cédions,cédiez,cèdent,cédai,cédas,céda,cédâmes,cédâtes,cédèrent,cédasse,cédasses,cédât,cédassions,cédassiez,cédassent,cède,cédons,cédez
ceindre,ceindre,ceins,ceins,ceint,ceignons,ceignez,ceignent,ceignais,ceignais,ceignait,ceignions,ceigniez,ceignaient,ceindrai,ceindras,ceindra,ceindrons,ceindrez,ceindront,ceindrais,ceindrais,ceindrait,ceindrions,ceindriez,ceindraient,ceigne,ceignes,ceigne,ceignions,ceigniez,ceignent,ceignis,ceignis,ceignit,ceignîmes,ceignîtes,ceignirent,ceignisse,ceignisses,ceignît,ceignissions,ceignissiez,ceignissent,ceins,ceignons,ceignez
ceinturer,ceinturer,ceinture,ceintures,ceinture,ceinturons,ceinturez,ceinturent,ceinturais,ceinturais,ceinturait,ceinturions,ceinturiez,ceinturaient,ceinturerai,ceintureras,ceinturera,ceinturerons,ceinturerez,ceintureront,ceinturerais,ceinturerais,ceinturerait,ceinturerions,ceintureriez,ceintureraient,ceinture,ceintures,ceinture,ceinturions,ceinturiez,ceinturent,ceinturai,ceinturas,ceintura,ceinturâmes,ceinturâtes,ceinturèrent,ceinturasse,ceinturasses,ceinturât,ceinturassions,ceinturassiez,ceinturassent,ceinture,ceinturons,ceinturez
célébrer,célébrer,célèbre,célèbres,célèbre,célébrons,célébrez,célèbrent,célébrais,célébrais,célébrait,célébrions,célébriez,célébraient,célébrerai,célébreras,célébrera,célébrerons,célébrerez,célébreront,célébrerais,célébrerais,célébrerait,célébrerions,célébreriez,célébreraient,célèbre,célèbres,célèbre,célébrions,célébriez,célèbrent,célébrai,célébras,célébra,célébrâmes,célébrâtes,célébrèrent,célébrasse,célébrasses,célébrât,célébrassions,célébrassiez,célébrassent,célèbre,célébrons,célébrez
celer,celer:sceller:seller,cèle,cèles,cèle,celons,celez,cèlent,celais,celais,celait,celions,celiez,celaient,cèlerai,cèleras,cèlera,cèlerons,cèlerez,cèleront,cèlerais,cèlerais,cèlerait,cèlerions,cèleriez,cèleraient,cèle,cèles,cèle,celions,celiez,cèlent,celai,celas,cela,celâmes,celâtes,celèrent,celasse,celasses,celât,celassions,celassiez,celassent,cèle,celons,celez
censurer,censurer,censure,censures,censure,censurons,censurez,censurent,censurais,censurais,censurait,censurions,censuriez,censuraient,censurerai,censureras,censurera,censurerons,censurerez,censureront,censurerais,censurerais,censurerait,censurerions,censureriez,censureraient,censure,censures,censure,censurions,censuriez,censurent,censurai,censuras,censura,censurâmes,censurâtes,censurèrent,censurasse,censurasses,censurât,censurassions,censurassiez,censurassent,censure,censurons,censurez
centraliser,centraliser,centralise,centralises,centralise,centralisons,centralisez,centralisent,centralisais,centralisais,centralisait,centralisions,centralisiez,centralisaient,centraliserai,centraliseras,centralisera,centraliserons,centraliserez,centraliseront,centraliserais,centraliserais,centraliserait,centraliserions,centraliseriez,centraliseraient,centralise,centralises,centralise,centralisions,centralisiez,centralisent,centralisai,centralisas,centralisa,centralisâmes,centralisâtes,centralisèrent,centralisasse,centralisasses,centralisât,centralisassions,centralisassiez,centralisassent,centralise,centralisons,centralisez
centrer,centrer,centre,centres,centre,centrons,centrez,centrent,centrais,centrais,centrait,centrions,centriez,centraient,centrerai,centreras,centrera,centrerons,centrerez,centreront,centrerais,centrerais,centrerait,centrerions,centreriez,centreraient,centre,centres,centre,centrions,centriez,centrent,centrai,centras,centra,centrâmes,centrâtes,centrèrent,centrasse,centrasses,centrât,centrassions,centrassiez,centrassent,centre,centrons,centrez
cercler,cercler,cercle,cercles,cercle,cerclons,cerclez,cerclent,cerclais,cerclais,cerclait,cerclions,cercliez,cerclaient,cerclerai,cercleras,cerclera,cerclerons,cerclerez,cercleront,cerclerais,cerclerais,cerclerait,cerclerions,cercleriez,cercleraient,cercle,cercles,cercle,cerclions,cercliez,cerclent,cerclai,cerclas,cercla,cerclâmes,cerclâtes,cerclèrent,cerclasse,cerclasses,cerclât,cerclassions,cerclassiez,cerclassent,cercle,cerclons,cerclez
cerner,cerner,cerne,cernes,cerne,cernons,cernez,cernent,cernais,cernais,cernait,cernions,cerniez,cernaient,cernerai,cerneras,cernera,cernerons,cernerez,cerneront,cernerais,cernerais,cernerait,cernerions,cerneriez,cerneraient,cerne,cernes,cerne,cernions,cerniez,cernent,cernai,cernas,cerna,cernâmes,cernâtes,cernèrent,cernasse,cernasses,cernât,cernassions,cernassiez,cernassent,cerne,cernons,cernez
certifier,certifier,certifie,certifies,certifie,certifions,certifiez,certifient,certifiais,certifiais,certifiait,certifiions,certifiiez,certifiaient,certifierai,certifieras,certifiera,certifierons,certifierez,certifieront,certifierais,certifierais,certifierait,certifierions,certifieriez,certifieraient,certifie,certifies,certifie,certifiions,certifiiez,certifient,certifiai,certifias,certifia,certifiâmes,certifiâtes,certifièrent,certifiasse,certifiasses,certifiât,certifiassions,certifiassiez,certifiassent,certifie,certifions,certifiez
cesser,cesser,cesse,cesses,cesse,cessons,cessez,cessent,cessais,cessais,cessait,cessions,cessiez,cessaient,cesserai,cesseras,cessera,cesserons,cesserez,cesseront,cesserais,cesserais,cesserait,cesserions,cesseriez,cesseraient,cesse,cesses,cesse,cessions,cessiez,cessent,cessai,cessas,cessa,cessâmes,cessâtes,cessèrent,cessasse,cessasses,cessât,cessassions,cessassiez,cessassent,cesse,cessons,cessez
chabler,chabler,chable,chables,chable,chablons,chablez,chablent,chablais,chablais,chablait,chablions,chabliez,chablaient,chablerai,chableras,chablera,chablerons,chablerez,chableront,chablerais,chablerais,chablerait,chablerions,chableriez,chableraient,chable,chables,chable,chablions,chabliez,chablent,chablai,chablas,chabla,chablâmes,chablâtes,chablèrent,chablasse,chablasses,chablât,chablassions,chablassiez,chablassent,chable,chablons,chablez
chagriner,chagriner,chagrine,chagrines,chagrine,chagrinons,chagrinez,chagrinent,chagrinais,chagrinais,chagrinait,chagrinions,chagriniez,chagrinaient,chagrinerai,chagrineras,chagrinera,chagrinerons,chagrinerez,chagrineront,chagrinerais,chagrinerais,chagrinerait,chagrinerions,chagrineriez,chagrineraient,chagrine,chagrines,chagrine,chagrinions,chagriniez,chagrinent,chagrinai,chagrinas,chagrina,chagrinâmes,chagrinâtes,chagrinèrent,chagrinasse,chagrinasses,chagrinât,chagrinassions,chagrinassiez,chagrinassent,chagrine,chagrinons,chagrinez
chahuter,chahuter,chahute,chahutes,chahute,chahutons,chahutez,chahutent,chahutais,chahutais,chahutait,chahutions,chahutiez,chahutaient,chahuterai,chahuteras,chahutera,chahuterons,chahuterez,chahuteront,chahuterais,chahuterais,chahuterait,chahuterions,chahuteriez,chahuteraient,chahute,chahutes,chahute,chahutions,chahutiez,chahutent,chahutai,chahutas,chahuta,chahutâmes,chahutâtes,chahutèrent,chahutasse,chahutasses,chahutât,chahutassions,chahutassiez,chahutassent,chahute,chahutons,chahutez
challenger,challenger,challenge,challenges,challenge,challengeons,challengez,challengent,challengeais,challengeais,challengeait,challengions,challengiez,challengeaient,challengerai,challengeras,challengera,challengerons,challengerez,challengeront,challengerais,challengerais,challengerait,challengerions,challengeriez,challengeraient,challenge,challenges,challenge,challengions,challengiez,challengent,challengeai,challengeas,challengea,challengeâmes,challengeâtes,challengèrent,challengeasse,challengeasses,challengeât,challengeassions,challengeassiez,challengeassent,challenge,challengeons,challengez
chaloir,chaloir,unk,unk,chaut,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk
chalouper,chalouper,chaloupe,chaloupes,chaloupe,chaloupons,chaloupez,chaloupent,chaloupais,chaloupais,chaloupait,chaloupions,chaloupiez,chaloupaient,chalouperai,chalouperas,chaloupera,chalouperons,chalouperez,chalouperont,chalouperais,chalouperais,chalouperait,chalouperions,chalouperiez,chalouperaient,chaloupe,chaloupes,chaloupe,chaloupions,chaloupiez,chaloupent,chaloupai,chaloupas,chaloupa,chaloupâmes,chaloupâtes,chaloupèrent,chaloupasse,chaloupasses,chaloupât,chaloupassions,chaloupassiez,chaloupassent,chaloupe,chaloupons,chaloupez
chamailler,chamailler,chamaille,chamailles,chamaille,chamaillons,chamaillez,chamaillent,chamaillais,chamaillais,chamaillait,chamaillions,chamailliez,chamaillaient,chamaillerai,chamailleras,chamaillera,chamaillerons,chamaillerez,chamailleront,chamaillerais,chamaillerais,chamaillerait,chamaillerions,chamailleriez,chamailleraient,chamaille,chamailles,chamaille,chamaillions,chamailliez,chamaillent,chamaillai,chamaillas,chamailla,chamaillâmes,chamaillâtes,chamaillèrent,chamaillasse,chamaillasses,chamaillât,chamaillassions,chamaillassiez,chamaillassent,chamaille,chamaillons,chamaillez
chambarder,chambarder,chambarde,chambardes,chambarde,chambardons,chambardez,chambardent,chambardais,chambardais,chambardait,chambardions,chambardiez,chambardaient,chambarderai,chambarderas,chambardera,chambarderons,chambarderez,chambarderont,chambarderais,chambarderais,chambarderait,chambarderions,chambarderiez,chambarderaient,chambarde,chambardes,chambarde,chambardions,chambardiez,chambardent,chambardai,chambardas,chambarda,chambardâmes,chambardâtes,chambardèrent,chambardasse,chambardasses,chambardât,chambardassions,chambardassiez,chambardassent,chambarde,chambardons,chambardez
chambouler,chambouler,chamboule,chamboules,chamboule,chamboulons,chamboulez,chamboulent,chamboulais,chamboulais,chamboulait,chamboulions,chambouliez,chamboulaient,chamboulerai,chambouleras,chamboulera,chamboulerons,chamboulerez,chambouleront,chamboulerais,chamboulerais,chamboulerait,chamboulerions,chambouleriez,chambouleraient,chamboule,chamboules,chamboule,chamboulions,chambouliez,chamboulent,chamboulai,chamboulas,chamboula,chamboulâmes,chamboulâtes,chamboulèrent,chamboulasse,chamboulasses,chamboulât,chamboulassions,chamboulassiez,chamboulassent,chamboule,chamboulons,chamboulez
chambrer,chambrer,chambre,chambres,chambre,chambrons,chambrez,chambrent,chambrais,chambrais,chambrait,chambrions,chambriez,chambraient,chambrerai,chambreras,chambrera,chambrerons,chambrerez,chambreront,chambrerais,chambrerais,chambrerait,chambrerions,chambreriez,chambreraient,chambre,chambres,chambre,chambrions,chambriez,chambrent,chambrai,chambras,chambra,chambrâmes,chambrâtes,chambrèrent,chambrasse,chambrasses,chambrât,chambrassions,chambrassiez,chambrassent,chambre,chambrons,chambrez
chanceler,chanceler,chancelle,chancelles,chancelle,chancelons,chancelez,chancellent,chancelais,chancelais,chancelait,chancelions,chanceliez,chancelaient,chancellerai,chancelleras,chancellera,chancellerons,chancellerez,chancelleront,chancellerais,chancellerais,chancellerait,chancellerions,chancelleriez,chancelleraient,chancelle,chancelles,chancelle,chancelions,chanceliez,chancellent,chancelai,chancelas,chancela,chancelâmes,chancelâtes,chancelèrent,chancelasse,chancelasses,chancelât,chancelassions,chancelassiez,chancelassent,chancelle,chancelons,chancelez
chancir,chancir,chancis,chancis,chancit,chancissons,chancissez,chancissent,chancissais,chancissais,chancissait,chancissions,chancissiez,chancissaient,chancirai,chanciras,chancira,chancirons,chancirez,chanciront,chancirais,chancirais,chancirait,chancirions,chanciriez,chanciraient,chancisse,chancisses,chancisse,chancissions,chancissiez,chancissent,chancis,chancis,chancit,chancîmes,chancîtes,chancirent,chancisse,chancisses,chancît,chancissions,chancissiez,chancissent,chancis,chancissons,chancissez
changer,changer,change,changes,change,changeons,changez,changent,changeais,changeais,changeait,changions,changiez,changeaient,changerai,changeras,changera,changerons,changerez,changeront,changerais,changerais,changerait,changerions,changeriez,changeraient,change,changes,change,changions,changiez,changent,changeai,changeas,changea,changeâmes,changeâtes,changèrent,changeasse,changeasses,changeât,changeassions,changeassiez,changeassent,change,changeons,changez
chansonner,chansonner,chansonne,chansonnes,chansonne,chansonnons,chansonnez,chansonnent,chansonnais,chansonnais,chansonnait,chansonnions,chansonniez,chansonnaient,chansonnerai,chansonneras,chansonnera,chansonnerons,chansonnerez,chansonneront,chansonnerais,chansonnerais,chansonnerait,chansonnerions,chansonneriez,chansonneraient,chansonne,chansonnes,chansonne,chansonnions,chansonniez,chansonnent,chansonnai,chansonnas,chansonna,chansonnâmes,chansonnâtes,chansonnèrent,chansonnasse,chansonnasses,chansonnât,chansonnassions,chansonnassiez,chansonnassent,chansonne,chansonnons,chansonnez
chanstiquer,chanstiquer,chanstiquer,chanstiquer,chanstiquer,chanstiquer,chanstiquer,chanstiquer,chanstiquer,chanstiquer,chanstiquer,chanstiquer,chanstiquer,chanstiquer,chanstiquer,chanstiquer,chanstiquer,chanstiquer,chanstiquer,chanstiquer,chanstiquer,chanstiquer,chanstiquer,chanstiquer,chanstiquer,chanstiquer,chanstiquer,chanstiquer,chanstiquer,chanstiquer,chanstiquer,chanstiquer,chanstiquer,chanstiquer,chanstiquer,chanstiquer,chanstiquer,chanstiquer,chanstiquer,chanstiquer,chanstiquer,chanstiquer,chanstiquer,chanstiquer,chanstiquer,chanstiquer,chanstiquer
chanter,chanter,chante,chantes,chante,chantons,chantez,chantent,chantais,chantais,chantait,chantions,chantiez,chantaient,chanterai,chanteras,chantera,chanterons,chanterez,chanteront,chanterais,chanterais,chanterait,chanterions,chanteriez,chanteraient,chante,chantes,chante,chantions,chantiez,chantent,chantai,chantas,chanta,chantâmes,chantâtes,chantèrent,chantasse,chantasses,chantât,chantassions,chantassiez,chantassent,chante,chantons,chantez
chantonner,chantonner,chantonne,chantonnes,chantonne,chantonnons,chantonnez,chantonnent,chantonnais,chantonnais,chantonnait,chantonnions,chantonniez,chantonnaient,chantonnerai,chantonneras,chantonnera,chantonnerons,chantonnerez,chantonneront,chantonnerais,chantonnerais,chantonnerait,chantonnerions,chantonneriez,chantonneraient,chantonne,chantonnes,chantonne,chantonnions,chantonniez,chantonnent,chantonnai,chantonnas,chantonna,chantonnâmes,chantonnâtes,chantonnèrent,chantonnasse,chantonnasses,chantonnât,chantonnassions,chantonnassiez,chantonnassent,chantonne,chantonnons,chantonnez
chantourner,chantourner,chantourne,chantournes,chantourne,chantournons,chantournez,chantournent,chantournais,chantournais,chantournait,chantournions,chantourniez,chantournaient,chantournerai,chantourneras,chantournera,chantournerons,chantournerez,chantourneront,chantournerais,chantournerais,chantournerait,chantournerions,chantourneriez,chantourneraient,chantourne,chantournes,chantourne,chantournions,chantourniez,chantournent,chantournai,chantournas,chantourna,chantournâmes,chantournâtes,chantournèrent,chantournasse,chantournasses,chantournât,chantournassions,chantournassiez,chantournassent,chantourne,chantournons,chantournez
chaparder,chaparder,chaparde,chapardes,chaparde,chapardons,chapardez,chapardent,chapardais,chapardais,chapardait,chapardions,chapardiez,chapardaient,chaparderai,chaparderas,chapardera,chaparderons,chaparderez,chaparderont,chaparderais,chaparderais,chaparderait,chaparderions,chaparderiez,chaparderaient,chaparde,chapardes,chaparde,chapardions,chapardiez,chapardent,chapardai,chapardas,chaparda,chapardâmes,chapardâtes,chapardèrent,chapardasse,chapardasses,chapardât,chapardassions,chapardassiez,chapardassent,chaparde,chapardons,chapardez
chapeauter,chapeauter,chapeaute,chapeautes,chapeaute,chapeautons,chapeautez,chapeautent,chapeautais,chapeautais,chapeautait,chapeautions,chapeautiez,chapeautaient,chapeauterai,chapeauteras,chapeautera,chapeauterons,chapeauterez,chapeauteront,chapeauterais,chapeauterais,chapeauterait,chapeauterions,chapeauteriez,chapeauteraient,chapeaute,chapeautes,chapeaute,chapeautions,chapeautiez,chapeautent,chapeautai,chapeautas,chapeauta,chapeautâmes,chapeautâtes,chapeautèrent,chapeautasse,chapeautasses,chapeautât,chapeautassions,chapeautassiez,chapeautassent,chapeaute,chapeautons,chapeautez
chaperonner,chaperonner,chaperonne,chaperonnes,chaperonne,chaperonnons,chaperonnez,chaperonnent,chaperonnais,chaperonnais,chaperonnait,chaperonnions,chaperonniez,chaperonnaient,chaperonnerai,chaperonneras,chaperonnera,chaperonnerons,chaperonnerez,chaperonneront,chaperonnerais,chaperonnerais,chaperonnerait,chaperonnerions,chaperonneriez,chaperonneraient,chaperonne,chaperonnes,chaperonne,chaperonnions,chaperonniez,chaperonnent,chaperonnai,chaperonnas,chaperonna,chaperonnâmes,chaperonnâtes,chaperonnèrent,chaperonnasse,chaperonnasses,chaperonnât,chaperonnassions,chaperonnassiez,chaperonnassent,chaperonne,chaperonnons,chaperonnez
chapitrer,chapitrer,chapitre,chapitres,chapitre,chapitrons,chapitrez,chapitrent,chapitrais,chapitrais,chapitrait,chapitrions,chapitriez,chapitraient,chapitrerai,chapitreras,chapitrera,chapitrerons,chapitrerez,chapitreront,chapitrerais,chapitrerais,chapitrerait,chapitrerions,chapitreriez,chapitreraient,chapitre,chapitres,chapitre,chapitrions,chapitriez,chapitrent,chapitrai,chapitras,chapitra,chapitrâmes,chapitrâtes,chapitrèrent,chapitrasse,chapitrasses,chapitrât,chapitrassions,chapitrassiez,chapitrassent,chapitre,chapitrons,chapitrez
charbonner,charbonner,charbonne,charbonnes,charbonne,charbonnons,charbonnez,charbonnent,charbonnais,charbonnais,charbonnait,charbonnions,charbonniez,charbonnaient,charbonnerai,charbonneras,charbonnera,charbonnerons,charbonnerez,charbonneront,charbonnerais,charbonnerais,charbonnerait,charbonnerions,charbonneriez,charbonneraient,charbonne,charbonnes,charbonne,charbonnions,charbonniez,charbonnent,charbonnai,charbonnas,charbonna,charbonnâmes,charbonnâtes,charbonnèrent,charbonnasse,charbonnasses,charbonnât,charbonnassions,charbonnassiez,charbonnassent,charbonne,charbonnons,charbonnez
charcuter,charcuter,charcute,charcutes,charcute,charcutons,charcutez,charcutent,charcutais,charcutais,charcutait,charcutions,charcutiez,charcutaient,charcuterai,charcuteras,charcutera,charcuterons,charcuterez,charcuteront,charcuterais,charcuterais,charcuterait,charcuterions,charcuteriez,charcuteraient,charcute,charcutes,charcute,charcutions,charcutiez,charcutent,charcutai,charcutas,charcuta,charcutâmes,charcutâtes,charcutèrent,charcutasse,charcutasses,charcutât,charcutassions,charcutassiez,charcutassent,charcute,charcutons,charcutez
charger,charger,charge,charges,charge,chargeons,chargez,chargent,chargeais,chargeais,chargeait,chargions,chargiez,chargeaient,chargerai,chargeras,chargera,chargerons,chargerez,chargeront,chargerais,chargerais,chargerait,chargerions,chargeriez,chargeraient,charge,charges,charge,chargions,chargiez,chargent,chargeai,chargeas,chargea,chargeâmes,chargeâtes,chargèrent,chargeasse,chargeasses,chargeât,chargeassions,chargeassiez,chargeassent,charge,chargeons,chargez
charlataner,charlataner,charlatane,charlatanes,charlatane,charlatanons,charlatanez,charlatanent,charlatanais,charlatanais,charlatanait,charlatanions,charlataniez,charlatanaient,charlatanerai,charlataneras,charlatanera,charlatanerons,charlatanerez,charlataneront,charlatanerais,charlatanerais,charlatanerait,charlatanerions,charlataneriez,charlataneraient,charlatane,charlatanes,charlatane,charlatanions,charlataniez,charlatanent,charlatanai,charlatanas,charlatana,charlatanâmes,charlatanâtes,charlatanèrent,charlatanasse,charlatanasses,charlatanât,charlatanassions,charlatanassiez,charlatanassent,charlatane,charlatanons,charlatanez
charmer,charmer,charme,charmes,charme,charmons,charmez,charment,charmais,charmais,charmait,charmions,charmiez,charmaient,charmerai,charmeras,charmera,charmerons,charmerez,charmeront,charmerais,charmerais,charmerait,charmerions,charmeriez,charmeraient,charme,charmes,charme,charmions,charmiez,charment,charmai,charmas,charma,charmâmes,charmâtes,charmèrent,charmasse,charmasses,charmât,charmassions,charmassiez,charmassent,charme,charmons,charmez
charpenter,charpenter,charpente,charpentes,charpente,charpentons,charpentez,charpentent,charpentais,charpentais,charpentait,charpentions,charpentiez,charpentaient,charpenterai,charpenteras,charpentera,charpenterons,charpenterez,charpenteront,charpenterais,charpenterais,charpenterait,charpenterions,charpenteriez,charpenteraient,charpente,charpentes,charpente,charpentions,charpentiez,charpentent,charpentai,charpentas,charpenta,charpentâmes,charpentâtes,charpentèrent,charpentasse,charpentasses,charpentât,charpentassions,charpentassiez,charpentassent,charpente,charpentons,charpentez
charrier,charrier,charrie,charries,charrie,charrions,charriez,charrient,charriais,charriais,charriait,charriions,charriiez,charriaient,charrierai,charrieras,charriera,charrierons,charrierez,charrieront,charrierais,charrierais,charrierait,charrierions,charrieriez,charrieraient,charrie,charries,charrie,charriions,charriiez,charrient,charriai,charrias,charria,charriâmes,charriâtes,charrièrent,charriasse,charriasses,charriât,charriassions,charriassiez,charriassent,charrie,charrions,charriez
chasser,chasser,chasse,chasses,chasse,chassons,chassez,chassent,chassais,chassais,chassait,chassions,chassiez,chassaient,chasserai,chasseras,chassera,chasserons,chasserez,chasseront,chasserais,chasserais,chasserait,chasserions,chasseriez,chasseraient,chasse,chasses,chasse,chassions,chassiez,chassent,chassai,chassas,chassa,chassâmes,chassâtes,chassèrent,chassasse,chassasses,chassât,chassassions,chassassiez,chassassent,chasse,chassons,chassez
châtaigner,châtaigner,châtaigne,châtaignes,châtaigne,châtaignons,châtaignez,châtaignent,châtaignais,châtaignais,châtaignait,châtaignions,châtaigniez,châtaignaient,châtaignerai,châtaigneras,châtaignera,châtaignerons,châtaignerez,châtaigneront,châtaignerais,châtaignerais,châtaignerait,châtaignerions,châtaigneriez,châtaigneraient,châtaigne,châtaignes,châtaigne,châtaignions,châtaigniez,châtaignent,châtaignai,châtaignas,châtaigna,châtaignâmes,châtaignâtes,châtaignèrent,châtaignasse,châtaignasses,châtaignât,châtaignassions,châtaignassiez,châtaignassent,châtaigne,châtaignons,châtaignez
châtier,châtier,châtie,châties,châtie,châtions,châtiez,châtient,châtiais,châtiais,châtiait,châtiions,châtiiez,châtiaient,châtierai,châtieras,châtiera,châtierons,châtierez,châtieront,châtierais,châtierais,châtierait,châtierions,châtieriez,châtieraient,châtie,châties,châtie,châtiions,châtiiez,châtient,châtiai,châtias,châtia,châtiâmes,châtiâtes,châtièrent,châtiasse,châtiasses,châtiât,châtiassions,châtiassiez,châtiassent,châtie,châtions,châtiez
chatouiller,chatouiller,chatouille,chatouilles,chatouille,chatouillons,chatouillez,chatouillent,chatouillais,chatouillais,chatouillait,chatouillions,chatouilliez,chatouillaient,chatouillerai,chatouilleras,chatouillera,chatouillerons,chatouillerez,chatouilleront,chatouillerais,chatouillerais,chatouillerait,chatouillerions,chatouilleriez,chatouilleraient,chatouille,chatouilles,chatouille,chatouillions,chatouilliez,chatouillent,chatouillai,chatouillas,chatouilla,chatouillâmes,chatouillâtes,chatouillèrent,chatouillasse,chatouillasses,chatouillât,chatouillassions,chatouillassiez,chatouillassent,chatouille,chatouillons,chatouillez
chatoyer,chatoyer,chatoie,chatoies,chatoie,chatoyons,chatoyez,chatoient,chatoyais,chatoyais,chatoyait,chatoyions,chatoyiez,chatoyaient,chatoierai,chatoieras,chatoiera,chatoierons,chatoierez,chatoieront,chatoierais,chatoierais,chatoierait,chatoierions,chatoieriez,chatoieraient,chatoie,chatoies,chatoie,chatoyions,chatoyiez,chatoient,chatoyai,chatoyas,chatoya,chatoyâmes,chatoyâtes,chatoyèrent,chatoyasse,chatoyasses,chatoyât,chatoyassions,chatoyassiez,chatoyassent,chatoie,chatoyons,chatoyez
châtrer,châtrer,châtre,châtres,châtre,châtrons,châtrez,châtrent,châtrais,châtrais,châtrait,châtrions,châtriez,châtraient,châtrerai,châtreras,châtrera,châtrerons,châtrerez,châtreront,châtrerais,châtrerais,châtrerait,châtrerions,châtreriez,châtreraient,châtre,châtres,châtre,châtrions,châtriez,châtrent,châtrai,châtras,châtra,châtrâmes,châtrâtes,châtrèrent,châtrasse,châtrasses,châtrât,châtrassions,châtrassiez,châtrassent,châtre,châtrons,châtrez
chatter,chatter,chatte,chattes,chatte,chattons,chattez,chattent,chattais,chattais,chattait,chattions,chattiez,chattaient,chatterai,chatteras,chattera,chatterons,chatterez,chatteront,chatterais,chatterais,chatterait,chatterions,chatteriez,chatteraient,chatte,chattes,chatte,chattions,chattiez,chattent,chattai,chattas,chatta,chattâmes,chattâtes,chattèrent,chattasse,chattasses,chattât,chattassions,chattassiez,chattassent,chatte,chattons,chattez
